"","Name","Location","Started on","Notes","Region","URL","Latnum  in miles","Longnum"
"68","Great Denham Parkrun","Great Denham, Beds","17 Feb 2018","On the new parkland running along the River Great Ouse","East of England","/wiki/Great_Denham","52.1344444444444","-0.514722222222222"
"69","Great Dunmow Parkrun","Great Dunmow, Essex","14 Apr 2018","At The Recreation Ground mainly on trail starting at the skatepark","East of England","/wiki/Great_Dunmow","51.8730555555556","0.361666666666667"
"70","Great Notley Parkrun","Great Notley, Essex","28 Jun 2014","In Great Notley Country Park ran on gravel tracks and grass","East of England","/wiki/Great_Notley","51.8594444444444","0.534166666666667"
"71","Gunpowder Parkrun","Waltham Abbey, Essex","22 Oct 2011","In Gunpowder Park, now part of Lee Valley Park and formerly part of Waltham Abbey Royal Gunpowder Mills","East of England","/wiki/Waltham_Abbey","51.6847222222222","0.000277777777777778"
"72","Hadleigh Parkrun","Hadleigh, Essex","22 Oct 2016","An undulating course at Hadleigh Country Park with views across the Thames Estuary","East of England","/wiki/Hadleigh,_Essex","51.5536111111111","0.609444444444444"
"73","Harlow Parkrun","Harlow, Essex","8 Nov 2014","At Harlow Town Park mainly on the foot and cycle path","East of England","/wiki/Harlow","51.7788888888889","0.128055555555556"
"74","Harwich	Parkrun","Harwich, Essex","1 Aug 2015","Along the promenade starting at Cliff Park","East of England","/wiki/Harwich","51.9338888888889","1.26611111111111"
"75","Haverhill Parkrun","Haverhill, Suffolk","10 Mar 2018","At Puddlebrook Playing Fields mostly on grass","East of England","/wiki/Haverhill,_Suffolk","52.0833333333333","0.433333333333333"
"76","Hockley Woods Parkrun","Hockley, Essex","7 Feb 2015","Run entirely on trail paths in the woods","East of England","/wiki/Hockley","51.6013888888889","0.636388888888889"
"77","Holkham	Parkrun","Holkham, Norfolk","12 Dec 2015","At Holkham Hall passing the estates historic features and starting outside the hall","East of England","/wiki/Holkham","52.9588888888889","0.815833333333333"
"78","Houghton Hall Parkrun","Houghton Regis, Beds","23 Dec 2017","At Houghton Hall Park","East of England","/wiki/Houghton_Regis","51.9038888888889","-0.524722222222222"
"79","Huntingdon Parkrun","Huntingdon, Cambs","13 Apr 2013","Two loops of Hinchingbrooke Country Park on a mixture of grass, footpaths and woodland paths","East of England","/wiki/Huntingdon","52.3363888888889","-0.171666666666667"
"80","Ipswich	Parkrun","Ipswich, Suffolk","8 Sep 2012","The summer course is in Chantry Park and the winter course is in Christchurch Park","East of England","/wiki/Ipswich","52.0594444444444","1.15555555555556"
"81","Jersey Farm Parkrun","St. Albans, Herts","10 Nov 2018","At Jersey Farm Woodland Park, the only Parkrun on the mainland beginning with the letter ""J""","East of England","/wiki/St._Albans","51.755","-0.336111111111111"
"82","Kesgrave Parkrun","Kesgrave, Suffolk","20 Sep 2014","At Millenium Field all on grass","East of England","/wiki/Kesgrave","52.0627777777778","1.23777777777778"
"83","King's Lynn Parkrun","King's Lynn, Norfolk","19 Sep 2011","At The Walks entirely on tarmac passing Red Mount Chapel","East of England","/wiki/King%27s_Lynn","52.7541666666667","0.3975"
"84","Letchworth Parkrun","Letchworth, Herts","27 Jan 2018","At Grange Recreation Ground partly on gravel, grass and bare earth","East of England","/wiki/Letchworth","51.9780555555556","-0.23"
"85","Lingwood Parkrun","Lingwood, Norfolk","2 March 2019","At Lingwood Village Hall","East of England","/wiki/Lingwood,_Norfolk","52.625","1.49111111111111"
"86","Littleport Parkrun","Littleport, Cambs","23 Jun 2018","At Littleport Leisure Centre","East of England","/wiki/Littleport,_Cambridgeshire","52.4580555555556","0.305"
